health_authority	Number_children	Diphtheria	Tetanus	Pertussis	Polio	MMR	Hib
ENGLAND	608,071	96	96	94	96	91 	95 
ANGLIA & OXFORD	67,178	96	96	94	95	92	95
Avon	11,746	97	98	96	97	93	97
Barking & Havering	4,746	96	96	95	97	92	96
Barnet	4,136	95	95	94	95	88	94
Barnsley	2,813	98	98	96	98	94 	98 
Bedfordshire	7,847	95	95	94	95	92	94
Berkshire	11,631	88	88	87	88	84	87
Bexley & Greenwich	5,966	94	94	93	94	86	94
Birmingham	14,507	97	97	96	96	91	96
Bradford	7,023	94	94	93	94	88	94
Brent & Harrow	6,303	95	95	94	95	89	94
Bromley	3,642	94	94	93	94	88	94
Buckinghamshire	8,616	97	97	95	97	94	96
Bury & Rochdale	5,134	97	97	96	97	93	97
Calderdale & Kirklees	7,753	97	97	96	97	94	97
Cambridge & Huntingdon	4,971	97	97	96	97	93	97
Camden & Islington	4,593	94	94	92	94	86	93
Cornwall & Isle Of Scilly	5,101	96	96	94	96	91	95
County Durham	6,957	97	97	95	97	94	96
Coventry	4,005	94	94	91	94	91	93
Croydon	4,578	91	91	90	91	84	90
Doncaster	3,689	97	97	95	96	94	96
Dorset	7,139	97	97	96	97	93	97
Dudley	3,897	97	97	95	97	93	96
Ealing, Hammersmith & Hounslow	9,069	95	95	93	95	87	94
East & North Hertfordshire	6,571	96	96	95	96	92	96
East Kent	6,780	97	97	95	97	93	97
East Lancashire	7,134	96	96	95	96	91	96
East London & The City	11,521	88	88	87	88	82	87
East Norfolk	6,778	98	99	97	99	96	98
East Riding	6,730	96	96	93	96	93	96
East Surrey	5,114	94	94	93	94	88	93
East Sussex	7,962	96	96	95	96	90	96
Enfield & Haringey	6,695	95	95	94	95	91	94
Gateshead & South Tyneside	4,116	96	96	94	96	91	96
Gloucestershire	6,598	95	95	94	95	92	95
Herefordshire	1,838	97	97	95	97	92	96
Hillingdon	3,363	96	96	95	96	89	96
Isle Of Wight	1,319	98	98	95	98	92	97
Kensington, Chelsea & Westminster	3,367	91	91	91	91	81	91
Kingston & Richmond	3,942	92	92	92	92	84	92
Lambeth, Southwark & Lewisham	11,294	89	89	88	89	82	89
Leeds	8,621	93	93	92	93	87	93
Leicestershire	11,417	98	98	96	98	96	97
Lincolnshire	6,896	92	92	91	92	75	91
Liverpool	5,778	95	95	92	95	89	94
Manchester	5,726	93	93	91	93	86	91
Merton, Sutton & Wandsworth	8,343	93	93	92	93	82	92
Morceambe Bay	3,267	97	97	95	97	91	97
Newcastle & North Tyneside	5,258	96	96	95	96	94	96
North & East Devon	5,071	98	98	96	98	94	97
North & Mid Hampshire	7,054	96	97	95	96	93	96
North Cheshire	3,962	97	97	95	97	92	96
North Cumbria	3,445	98	98	97	98	96	98
North Derbyshire	4,126	98	98	97	98	96	98
North Essex	10,738	95	95	95	95	91	95
North Nottinghamshire	4,706	95	95	94	95	90	95
North Staffordshire	5,223	98	98	95	98	94	97
NORTH THAMES	93,190	95	95	93	95	89	94
NORTH WEST	80,326	96	96	94	96	91	96
North West Anglia	5,153	98	98	97	98	95	98
North West Lancashire	5,035	97	97	96	97	90	97
North Yorkshire	8,656	94	94	93	93	89	94
Northamptonshire	7,815	98	98	96	97	95	97
NORTHERN & YORKSHIRE	76,183	96	96	94	96	91	95
Northumberland	3,414	98	98	97	98	95	98
Nottingham	7,388	97	97	95	97	91	97
Oxfordshire	7,122	98	98	97	98	96	98
Portsmouth & South East Hampshire 	6,643	98	98	96	97	93	97
Redbridge & Waltham Forest	6,467	97	97	97	97	95	97
Rotherham	3,354	94	94	93	93	87	94
Salford & Trafford	5,470	94	94	93	94	89	94
Sandwell	3,941	95	95	93	95	89	95
Sefton	2,995	95	95	94	96	89	95
Sheffield	6,125	96	96	93	96	92	96
Shropshire	5,131	98	98	96	98	95	98
Solihull	2,357	97	97	96	97	92	97
Somerset	5,450	98	98	96	98	94	97
SOUTH & WEST	76,423	97	97	96	97	93	97
South & West Devon	6,404	97	97	95	96	92	96
South Cheshire	7,523	96	96	94	96	92	96
South Essex	8,846	97	97	95	97	93	96
South Humber	3,911	97	97	95	97	94	97
South Lancashire	3,641	97	97	95	97	91	96
South Staffordshire	7,008	98	98	96	98	94	97
SOUTH THAMES	86,829	94	94	93	94	88	94
Southampton & South West Hampshire	6,219	97	97	96	97	94	97
Southern Derbyshire	6,815	83	83	83	84	80	83
St Helens & Knowsley	4,227	93	93	91	93	86	93
Stockport	3,261	98	98	97	98	93	98
Suffolk	7,245	96	96	95	96	93	96
Sunderland	3,285	98	98	95	98	94	98
Tees	7,010	96	96	94	96	91	96
TRENT	61,240	95	95	93	95	90 	94 
Wakefield	3,915	95	95	94	95	89	95
Walsall	3,427	95	95	93	95	90	94
Warwickshire	5,769	97	97	96	97	93	97
West Hertfordshire	6,775	96	96	94	96	93	95
West Kent	12,596	97	97	97	97	93	97
WEST MIDLANDS	66,702	97	97	95	97	92	96
West Pennine	6,303	97	97	95	97	92	97
West Surrey	8,002	96	96	94	95	91	95
West Sussex	8,610	98	98	96	98	93	98
Wigan & Bolton	7,048	98	98	95	98	94	97
Wiltshire	7,679	98	98	97	98	94	98
Wirral	3,822	98	98	95	98	93	97
Wolverhampton	3,110	98	98	96	98	93	97
Worcestershire	6,489	97	97	96	97	93	97
