health_authority	Number_children	Diphtheria	Tetanus	Pertussis	Polio	Hib	MMR
England	609,783	95 	95 	94 	95 	95 	88 
  EASTERN 	65,335	96 	96 	95 	96 	96 	89
Avon	11,892	97 	97 	96 	97 	97 	91
Barking & Havering	4,876	95 	95 	95 	95 	95 	88
Barnet	4,116	94 	94 	93 	94 	94 	85
Barnsley	2,790	98 	98 	97 	98 	98 	94
Bedfordshire	7,613	95 	95 	94 	95 	95 	90
Berkshire	11,563	88 	88 	87 	88 	87 	82
Bexley & Greenwich	5,813	95 	95 	94 	95 	95 	83
Birmingham	14,682	96 	96 	96 	96 	96 	91
Bradford	6,884	95 	95 	94 	95 	95 	88
Brent & Harrow	6,304	94 	94 	94 	94 	93 	87
Bromley	3,654	94 	94 	93 	94 	94 	85
Buckinghamshire	8,591	97 	97 	96 	97 	97 	92
Bury & Rochdale	5,310	97 	97 	96 	97 	97 	92
Calderdale & Kirklees	7,728	97 	97 	95 	97 	97 	92
Cambridgeshire	7,917	97 	97 	96 	97 	97 	91
Camden & Islington	4,697	93 	93 	92 	93 	92 	81
Cornwall & Isle Of Scilly	5,157	96 	96 	94 	96 	96 	88
County Durham	7,405	97 	97 	95 	97 	96 	92
Coventry	3,925	95 	95 	93 	95 	94 	90
Croydon	4,834	84 	84 	83 	84 	84 	71
Doncaster	3,610	96 	96 	94 	96 	95 	93
Dorset	7,027	97 	97 	96 	97 	97 	90
Dudley	3,601	96 	96 	94 	96 	96 	89
Ealing, Hammersmith & Hounslow	9,135	91 	91 	90 	91 	90 	81
East & North Hertfordshire	6,904	93 	93 	92 	93 	93 	85
East Kent	6,817	97 	97 	96 	97 	97 	91
East Lancashire	7,080	95 	95 	93 	95 	95 	90
East London & The City	11,928	87 	87 	86 	87 	86 	79
East Riding	6,697	96 	96 	94 	96 	96 	92
East Surrey	5,249	93 	93 	92 	93 	93 	83
East Sussex	8,039	96 	96 	94 	96 	95 	86
Enfield & Haringey	7,478	92 	92 	91 	92 	91 	84
